Column1,Key,isDone
0,North West-Solar-Small,1
1,North West-Solar-Medium,
2,North West-Solar-Large,
3,North West-Nuclear-Small,
4,North West-Nuclear-Medium,
5,North West-Nuclear-Large,
6,North West-Hydro-Small,
7,North West-Hydro-Medium,
8,North West-Hydro-Large,
9,North West-Wind-Small,
10,North West-Wind-Medium,
11,North West-Wind-Large,
12,North West-Geothermal-Small,
13,North West-Geothermal-Medium,
14,North West-Geothermal-Large,
15,North West-Natural Gas-Small,
16,North West-Natural Gas-Medium,
17,North West-Natural Gas-Large,
18,North West-Coal-Small,
19,North West-Coal-Medium,
20,North West-Coal-Large,
21,North West-Biomass-Small,
22,North West-Biomass-Medium,
23,North West-Biomass-Large,
24,North West-Petroleum-Small,
25,North West-Petroleum-Medium,
26,North West-Petroleum-Large,
27,South West-Solar-Small,
28,South West-Solar-Medium,
29,South West-Solar-Large,
30,South West-Nuclear-Small,
31,South West-Nuclear-Medium,
32,South West-Nuclear-Large,
33,South West-Hydro-Small,
34,South West-Hydro-Medium,
35,South West-Hydro-Large,
36,South West-Wind-Small,
37,South West-Wind-Medium,
38,South West-Wind-Large,
39,South West-Geothermal-Small,
40,South West-Geothermal-Medium,
41,South West-Geothermal-Large,
42,South West-Natural Gas-Small,
43,South West-Natural Gas-Medium,
44,South West-Natural Gas-Large,
45,South West-Coal-Small,
46,South West-Coal-Medium,
47,South West-Coal-Large,
48,South West-Biomass-Small,
49,South West-Biomass-Medium,
50,South West-Biomass-Large,
51,South West-Petroleum-Small,
52,South West-Petroleum-Medium,
53,South West-Petroleum-Large,
54,North Central-Solar-Small,
55,North Central-Solar-Medium,
56,North Central-Solar-Large,
57,North Central-Nuclear-Small,
58,North Central-Nuclear-Medium,
59,North Central-Nuclear-Large,
60,North Central-Hydro-Small,
61,North Central-Hydro-Medium,
62,North Central-Hydro-Large,
63,North Central-Wind-Small,
64,North Central-Wind-Medium,
65,North Central-Wind-Large,
66,North Central-Geothermal-Small,
67,North Central-Geothermal-Medium,
68,North Central-Geothermal-Large,
69,North Central-Natural Gas-Small,
70,North Central-Natural Gas-Medium,
71,North Central-Natural Gas-Large,
72,North Central-Coal-Small,
73,North Central-Coal-Medium,
74,North Central-Coal-Large,
75,North Central-Biomass-Small,
76,North Central-Biomass-Medium,
77,North Central-Biomass-Large,
78,North Central-Petroleum-Small,
79,North Central-Petroleum-Medium,
80,North Central-Petroleum-Large,
81,South Central-Solar-Small,
82,South Central-Solar-Medium,
83,South Central-Solar-Large,
84,South Central-Nuclear-Small,
85,South Central-Nuclear-Medium,
86,South Central-Nuclear-Large,
87,South Central-Hydro-Small,
88,South Central-Hydro-Medium,
89,South Central-Hydro-Large,
90,South Central-Wind-Small,
91,South Central-Wind-Medium,
92,South Central-Wind-Large,
93,South Central-Geothermal-Small,
94,South Central-Geothermal-Medium,
95,South Central-Geothermal-Large,
96,South Central-Natural Gas-Small,
97,South Central-Natural Gas-Medium,
98,South Central-Natural Gas-Large,
99,South Central-Coal-Small,
100,South Central-Coal-Medium,
101,South Central-Coal-Large,
102,South Central-Biomass-Small,
103,South Central-Biomass-Medium,
104,South Central-Biomass-Large,
105,South Central-Petroleum-Small,
106,South Central-Petroleum-Medium,
107,South Central-Petroleum-Large,
108,North East-Solar-Small,
109,North East-Solar-Medium,
110,North East-Solar-Large,
111,North East-Nuclear-Small,
112,North East-Nuclear-Medium,
113,North East-Nuclear-Large,
114,North East-Hydro-Small,
115,North East-Hydro-Medium,
116,North East-Hydro-Large,
117,North East-Wind-Small,
118,North East-Wind-Medium,
119,North East-Wind-Large,
120,North East-Geothermal-Small,
121,North East-Geothermal-Medium,
122,North East-Geothermal-Large,
123,North East-Natural Gas-Small,
124,North East-Natural Gas-Medium,
125,North East-Natural Gas-Large,
126,North East-Coal-Small,
127,North East-Coal-Medium,
128,North East-Coal-Large,
129,North East-Biomass-Small,
130,North East-Biomass-Medium,
131,North East-Biomass-Large,
132,North East-Petroleum-Small,
133,North East-Petroleum-Medium,
134,North East-Petroleum-Large,
135,South East-Solar-Small,
136,South East-Solar-Medium,
137,South East-Solar-Large,
138,South East-Nuclear-Small,
139,South East-Nuclear-Medium,
140,South East-Nuclear-Large,
141,South East-Hydro-Small,
142,South East-Hydro-Medium,
143,South East-Hydro-Large,
144,South East-Wind-Small,
145,South East-Wind-Medium,
146,South East-Wind-Large,
147,South East-Geothermal-Small,
148,South East-Geothermal-Medium,
149,South East-Geothermal-Large,
150,South East-Natural Gas-Small,
151,South East-Natural Gas-Medium,
152,South East-Natural Gas-Large,
153,South East-Coal-Small,
154,South East-Coal-Medium,
155,South East-Coal-Large,
156,South East-Biomass-Small,
157,South East-Biomass-Medium,
158,South East-Biomass-Large,
159,South East-Petroleum-Small,
160,South East-Petroleum-Medium,
161,South East-Petroleum-Large,
